,id,name,imageUrl,thumbnailUrl,mobileImageUrl,productCount,comparable,discountedCount,childCount,children,boutique,slug,preferredDisplayStyle,promotionContentType,promotionContentId,promotionRecommendationCarouselId
205,5821,Egészséges keksz,,,,38,False,6,0,[],False,egeszseges-keksz,,banner,1360,
206,5822,"Ostyák, nápolyik",,,,30,False,0,0,[],False,ostyak-napolyik,,banner,1360,
207,5823,"Piskóta, palacsinta",,,,50,False,0,0,[],False,piskota-palacsinta,,banner,1360,
208,5824,Száraz keksz,,,,58,False,2,0,[],False,szaraz-keksz,,banner,1360,
209,5825,Elősütött pékáru,,,,2,False,0,0,[],False,elosutott-pekaru,,banner,1357,
210,5826,Töltött és mártott keksz,,,,81,False,0,0,[],False,toltott-es-martott-keksz,,banner,1360,
211,5830,Bio gyümölcs,,,,1,False,0,0,[],False,bio-gyumolcs,,,,
212,5847,Bio zöldség,,,,2,False,0,0,[],False,bio-zoldseg,,,,
213,5849,"Desszertek, édességek",,,,31,False,0,0,[],False,desszertek-edessegek,,,,
214,5853,"Köretek, gabonák, hüvelyesek",,,,15,False,0,0,[],False,koretek-gabonak-huvelyesek,,,,
215,5855,"Mártások, öntetek, szószok",,,,10,False,0,0,[],False,martasok-ontetek-szoszok,,,,
216,5857,"Olaj, ecet",,,,5,False,0,0,[],False,olaj-ecet,,,,
217,5862,Tészták,,,,11,False,0,0,[],False,tesztak,,,,
218,5864,"Konzervek, kész és félkész ételek",,,,17,False,1,0,[],False,konzervek-kesz-es-felkesz-etelek,,,,
219,5865,"Befőttek, konzervek",,,,8,False,2,0,[],False,befottek-konzervek,,,,
220,5866,Édesség,,,,97,False,1,0,[],False,edesseg,,,,
221,5868,"szörpök, italok, italporok",,,,47,False,4,0,[],False,szorpok-italok-italporok,,,,
222,5870,Diétás kenyerek,,,,10,False,0,0,[],False,dietas-kenyerek,,,,
223,5872,"Liszt, lisztkeverék, süteménypor",,,,11,False,0,0,[],False,liszt-lisztkeverek-sutemenypor,,,,
224,5873,Reggeliző pelyhek,,,,4,False,0,0,[],False,reggelizo-pelyhek,,,,
225,5875,Csokoládé,,,,54,False,0,0,[],False,csokolade,,,,
226,5877,Tészták,,,,9,False,0,0,[],False,tesztak,,,,
227,5878,Diétás termékek,,,,5,False,0,0,[],False,dietas-termekek,,,,
228,5880,Fitness termékek,,,,17,False,0,0,[],False,fitness-termekek,,,,
